model_name,test_name,mse,activation,mu,my,hlszs,bsz,e,p,lr,weight_decay
grid0_23,step_choke_high,3.774868933500589e-06,LeakyReLU,50,20,200,64,200,5,0.001,0.1
grid0_23,random_walk_short,1.3126082898628327e-06,LeakyReLU,50,20,200,64,200,5,0.001,0.1
grid0_23,mixed_ramp_short,2.1890175928419058e-08,LeakyReLU,50,20,200,64,200,5,0.001,0.1
grid0_23,multiple_steps_interval100,1.5903001669174557e-07,LeakyReLU,50,20,200,64,200,5,0.001,0.1
grid0_24,step_choke_medium,1.9801289974046606e-06,LeakyReLU,50,50,10,64,200,5,0.001,0.1
grid0_24,step_choke_low,1.3704014626065536e-05,LeakyReLU,50,50,10,64,200,5,0.001,0.1
grid0_24,step_choke_high,1.1297410570218095e-06,LeakyReLU,50,50,10,64,200,5,0.001,0.1
grid0_24,random_walk_short,1.1638178670358273e-06,LeakyReLU,50,50,10,64,200,5,0.001,0.1
grid0_24,mixed_ramp_short,1.5790432187913744e-07,LeakyReLU,50,50,10,64,200,5,0.001,0.1
grid0_24,multiple_steps_interval100,6.697713183875618e-07,LeakyReLU,50,50,10,64,200,5,0.001,0.1
grid0_25,step_choke_medium,5.241780464919949e-07,LeakyReLU,50,50,40,64,200,5,0.001,0.1
grid0_25,step_choke_low,3.2154205005748994e-05,LeakyReLU,50,50,40,64,200,5,0.001,0.1
grid0_25,step_choke_high,4.750614672437743e-07,LeakyReLU,50,50,40,64,200,5,0.001,0.1
grid0_25,random_walk_short,1.03701482481894e-06,LeakyReLU,50,50,40,64,200,5,0.001,0.1
grid0_25,mixed_ramp_short,1.4820731635680782e-07,LeakyReLU,50,50,40,64,200,5,0.001,0.1
grid0_25,multiple_steps_interval100,5.591374515428496e-07,LeakyReLU,50,50,40,64,200,5,0.001,0.1
grid0_26,step_choke_medium,7.1675936591678436e-06,LeakyReLU,50,50,200,64,200,5,0.001,0.1
grid0_26,step_choke_low,8.731775908797448e-06,LeakyReLU,50,50,200,64,200,5,0.001,0.1
grid0_26,step_choke_high,4.272853402653709e-06,LeakyReLU,50,50,200,64,200,5,0.001,0.1
grid0_26,random_walk_short,9.008915156065937e-07,LeakyReLU,50,50,200,64,200,5,0.001,0.1
grid0_26,mixed_ramp_short,4.3120114298576065e-07,LeakyReLU,50,50,200,64,200,5,0.001,0.1
grid0_26,multiple_steps_interval100,1.0311513303330155e-06,LeakyReLU,50,50,200,64,200,5,0.001,0.1
